name,category,unit,price,notes
Standard service/diagnostic call,Service Call,,189,"NYC range: $189–$249"
After-hours service call,Service Call,,325,"NYC range: $325–$450"
Emergency/holiday call,Service Call,,450,"NYC range: $450–$650+"
Additional labor,Service Call,hour,175,"NYC range: $175–$225/hr"
AC preventive maintenance,Maintenance,system,225,"NYC range: $225–$325/system"
Heating preventive maintenance,Maintenance,system,225,"NYC range: $225–$350/system"
Mini-split maintenance (first head),Maintenance,first head,175,"NYC range: $175–$250 first head"
Additional mini-split head,Maintenance,each,75,"NYC range: $75–$125 each"
Condenser coil cleaning,Maintenance,,250,"NYC range: $250–$450"
Evaporator coil cleaning,Maintenance,,350,"NYC range: $350–$750"
Condensate drain cleaning,Maintenance,,175,"NYC range: $175–$300"
Capacitor replacement,Repair,,275,"NYC range: $275–$450"
Contactor replacement,Repair,,300,"NYC range: $300–$475"
Transformer replacement,Repair,,350,"NYC range: $350–$550"
Thermostat replacement labor,Repair,,225,"NYC range: $225–$375 + thermostat"
Condensate pump replacement,Repair,,350,"NYC range: $350–$550"
Blower motor replacement,Repair,,650,"NYC range: $650–$1,500+"
ECM blower motor,Repair,,900,"NYC range: $900–$1,800+"
Condenser fan motor,Repair,,650,"NYC range: $650–$1,200+"
Refrigerant leak search,Repair,,350,"NYC range: $350–$650+"
Refrigerant recharge,Repair,,450,"NYC range: $450–$1,200+ (depends on refrigerant/quantity)"
TXV replacement,Repair,,900,"NYC range: $900–$1,600+"
Evaporator coil replacement,Repair,,1800,"NYC range: $1,800–$3,500+"
Condenser coil replacement,Repair,,2000,"NYC range: $2,000–$4,000+"
Compressor replacement,Repair,,2500,"NYC range: $2,500–$5,000+"
Standard central AC replacement,Installation,,7000,"NYC range: $7,000–$14,000+"
Furnace + AC system,Installation,,9000,"NYC range: $9,000–$16,000+"
Single-zone mini-split installation,Installation,,4000,"NYC range: $4,000–$6,500+"
2-zone mini-split,Installation,,6500,"NYC range: $6,500–$9,500+"
3-zone mini-split,Installation,,8500,"NYC range: $8,500–$12,500+"
4-zone mini-split,Installation,,11000,"NYC range: $11,000–$16,000+"
